,PRODUCT_LIBRARY_KEY,CLIENT_ID,PRODUCT_DESCRIPTION_x,SIZE_RAW_x,SIZE_VALUE,PACK_RAW_x,AGE,ProductKey,PRODUCT_DESCRIPTION_y,SIZE_RAW_y,PACK_RAW_y
2922,6567,,PASCUAL TOSO ALTA CAB,750M,0.75,6.0,,6567,PASCUAL TOSO ALTA CAB,750M,6.0
2923,6568,,VINTAGE LONGBOTTOM H SYRAH,750M,0.75,6.0,,6568,VINTAGE LONGBOTTOM H SYRAH,750M,6.0
2924,6569,,L10 PREMIUM MALBEC,750M,0.75,6.0,,6569,L10 PREMIUM MALBEC,750M,6.0
2925,6570,,QUINTA DO VALLADO RED,750M,0.75,12.0,,6570,QUINTA DO VALLADO RED,750M,12.0
2926,6571,,BIANCHI SAN RAFA OASIS SUR CAB,750M,0.75,12.0,,6571,BIANCHI SAN RAFA OASIS SUR CAB,750M,12.0
2927,6572,,BIANCHI SAN RAF OAS SUR MALBEC,750M,0.75,12.0,,6572,BIANCHI SAN RAF OAS SUR MALBEC,750M,12.0
2928,6573,,HENRYS DRIVE SHIRAZ CAB,750M,0.75,6.0,,6573,HENRYS DRIVE SHIRAZ CAB,750M,6.0
2929,6574,,LA MANNELLA CORTON BRUN MONT,750M,0.75,12.0,,6574,LA MANNELLA CORTON BRUN MONT,750M,12.0
2930,6575,,MACAW TANNAT,750M,0.75,12.0,,6575,MACAW TANNAT,750M,12.0
2931,6576,,MACAW MERLOT,750M,0.75,12.0,,6576,MACAW MERLOT,750M,12.0
2932,6577,,NEW AGE WHT BLND,750M,0.75,12.0,,6577,NEW AGE WHT BLND,750M,12.0
2933,6578,,SAO MIGUEL ROSE,750M,0.75,12.0,,6578,SAO MIGUEL ROSE,750M,12.0
2934,6579,,LA MANNELLA CORTON ROSSO MONT,750M,0.75,12.0,,6579,LA MANNELLA CORTON ROSSO MONT,750M,12.0
2935,6580,,PASCUAL TOSO ALTA MALBEC RSV,750M,0.75,6.0,,6580,PASCUAL TOSO ALTA MALBEC RSV,750M,6.0
2936,6581,,TROPICAL PCH MOSCATO,750M,0.75,12.0,,6581,TROPICAL PCH MOSCATO,750M,12.0
2937,6582,,QUINTA DO VALLADO TOURIGA,750M,0.75,6.0,,6582,QUINTA DO VALLADO TOURIGA,750M,6.0
2938,6583,,PASCUAL TOSO ALTA MALBEC RSV,750M,0.75,6.0,,6583,PASCUAL TOSO ALTA MALBEC RSV,750M,6.0
2939,6584,,TROPICAL CRNBRY MOSCATO,750M,0.75,12.0,,6584,TROPICAL CRNBRY MOSCATO,750M,12.0
2940,6585,,LUCA BOSIO BAROLO DOCG,750M,0.75,12.0,,6585,LUCA BOSIO BAROLO DOCG,750M,12.0
2941,6586,,BEL COLLE SIMPOSIO BAROLO NEBB,750M,0.75,12.0,,6586,BEL COLLE SIMPOSIO BAROLO NEBB,750M,12.0
2942,6587,,LUCAS & LEWELLEN ROSE OF PNOIR,750M,0.75,12.0,,6587,LUCAS & LEWELLEN ROSE OF PNOIR,750M,12.0
2943,6588,,BAROSSA INK CAB,750M,0.75,12.0,,6588,BAROSSA INK CAB,750M,12.0
2944,6589,,BAROSSA INK SHIRAZ,750M,0.75,12.0,,6589,BAROSSA INK SHIRAZ,750M,12.0
2945,6590,,MUD HOUSE CNTRL OTAGO P NOIR,750M,0.75,12.0,,6590,MUD HOUSE CNTRL OTAGO P NOIR,750M,12.0
2946,6591,,ECHO FALLS PCH & MANGO FUSION,750M,0.75,6.0,,6591,ECHO FALLS PCH & MANGO FUSION,750M,6.0
2947,6592,,ECHO FALLS SUMM BERRIES FUSION,750M,0.75,6.0,,6592,ECHO FALLS SUMM BERRIES FUSION,750M,6.0
2948,6593,,DA LUCA SPRK ROSE,750M,0.75,12.0,,6593,DA LUCA SPRK ROSE,750M,12.0
2949,6594,,DA LUCA PROSECCO,750M,0.75,12.0,,6594,DA LUCA PROSECCO,750M,12.0
2950,6595,,ST HALLETT BLACKWELL SHIRAZ,750M,0.75,6.0,,6595,ST HALLETT BLACKWELL SHIRAZ,750M,6.0
2951,6596,,GUSTAVE LORENTZ P GRIS RSV,750M,0.75,12.0,,6596,GUSTAVE LORENTZ P GRIS RSV,750M,12.0
2952,6597,,QUINTA DO VALLADO RED,750M,0.75,12.0,,6597,QUINTA DO VALLADO RED,750M,12.0
2953,6598,,FOPPIANO 1896 CALIF RED,750M,0.75,12.0,,6598,FOPPIANO 1896 CALIF RED,750M,12.0
2954,6599,,PASCUAL TOSO MALBEC RSV,750M,0.75,12.0,,6599,PASCUAL TOSO MALBEC RSV,750M,12.0
2955,6600,,PASCUAL TOSO SPRK BRUT,750M,0.75,12.0,,6600,PASCUAL TOSO SPRK BRUT,750M,12.0
2956,6601,,PASCUAL TOSO CAB,750M,0.75,12.0,,6601,PASCUAL TOSO CAB,750M,12.0
2957,6602,,PASCUAL TOSO MALBEC,750M,0.75,12.0,,6602,PASCUAL TOSO MALBEC,750M,12.0
2958,6603,,PASCUAL TOSO CHARD,750M,0.75,12.0,,6603,PASCUAL TOSO CHARD,750M,12.0
2959,6604,,PASCUAL TOSO CAB RSV,750M,0.75,12.0,,6604,PASCUAL TOSO CAB RSV,750M,12.0
2960,6605,,PASCUAL TOSO ALTA SYRAH RSV,750M,0.75,6.0,,6605,PASCUAL TOSO ALTA SYRAH RSV,750M,6.0
2961,6606,,PASCUAL TOSO FINCA PEDGREGAL,750M,0.75,6.0,,6606,PASCUAL TOSO FINCA PEDGREGAL,750M,6.0
2962,6607,,PASCUAL TOSO FINCA PEDGREGAL,750M,0.75,6.0,,6607,PASCUAL TOSO FINCA PEDGREGAL,750M,6.0
2963,6608,,PASCUAL TOSO BARRANCAS RED,750M,0.75,12.0,,6608,PASCUAL TOSO BARRANCAS RED,750M,12.0
2964,6609,,OUTLOT SON SAUV BL,750M,0.75,12.0,,6609,OUTLOT SON SAUV BL,750M,12.0
2965,6610,,OUTLOT SON CHARD,750M,0.75,12.0,,6610,OUTLOT SON CHARD,750M,12.0
2966,6611,,OUTLOT ALEX VLY CAB,750M,0.75,12.0,,6611,OUTLOT ALEX VLY CAB,750M,12.0
2967,6612,,ECHO FALLS PCH & MANGO FUSION,750M,0.75,12.0,,6612,ECHO FALLS PCH & MANGO FUSION,750M,12.0
2968,6613,,ECHO FALLS RASP & CURR FUSION,750M,0.75,12.0,,6613,ECHO FALLS RASP & CURR FUSION,750M,12.0
2969,6614,,ECHO FALLS SUMM BERRIES FUSION,750M,0.75,12.0,,6614,ECHO FALLS SUMM BERRIES FUSION,750M,12.0
2970,6615,,XYZIN OLD VINE CALI ZIN,750M,0.75,12.0,,6615,XYZIN OLD VINE CALI ZIN,750M,12.0
2971,6616,,GRAN FAMIGLIA UCO VLY MALBEC,750M,0.75,12.0,,6616,GRAN FAMIGLIA UCO VLY MALBEC,750M,12.0
2972,6617,,L10 PREMIUM MALBEC,750M,0.75,6.0,,6617,L10 PREMIUM MALBEC,750M,6.0
2973,6618,,IRONSTONE OBSESSION SYMPHONY,750M,0.75,12.0,,6618,IRONSTONE OBSESSION SYMPHONY,750M,12.0
2974,6619,,IRONSTONE OBSESSION SYM PCH,750M,0.75,12.0,,6619,IRONSTONE OBSESSION SYM PCH,750M,12.0
2975,6620,,IRONSTONE OBSESSION ROSE,750M,0.75,12.0,,6620,IRONSTONE OBSESSION ROSE,750M,12.0
2976,6621,,IRONSTONE OBSESSION RED,750M,0.75,12.0,,6621,IRONSTONE OBSESSION RED,750M,12.0
2977,6622,,IRONSTONE OBSESSION SYM APL,750M,0.75,12.0,,6622,IRONSTONE OBSESSION SYM APL,750M,12.0
2978,6623,,IRONSTONE OBSESSION SYM MANGO,750M,0.75,12.0,,6623,IRONSTONE OBSESSION SYM MANGO,750M,12.0
2979,6624,,IRONSTONE CAB RSV,750M,0.75,6.0,,6624,IRONSTONE CAB RSV,750M,6.0
2980,6625,,HENRYS DRIVE SHIRAZ,750M,0.75,6.0,,6625,HENRYS DRIVE SHIRAZ,750M,6.0
2981,6626,,HENRYS DRIVE SHIRAZ,750M,0.75,6.0,,6626,HENRYS DRIVE SHIRAZ,750M,6.0
2982,6627,,ST HALLETT GMKPRS SHR/GRN/TOUR,750M,0.75,12.0,,6627,ST HALLETT GMKPRS SHR/GRN/TOUR,750M,12.0
2983,6628,,CORRALILLO P NOIR,750M,0.75,12.0,,6628,CORRALILLO P NOIR,750M,12.0
2984,6629,,LUCA BOSIO EGIDIO BARB D ALBA,750M,0.75,12.0,,6629,LUCA BOSIO EGIDIO BARB D ALBA,750M,12.0
2985,6630,,BIANCHI VALENTIN CAB,750M,0.75,12.0,,6630,BIANCHI VALENTIN CAB,750M,12.0
2986,6631,,PASCUAL TOSO ALTA MALBEC RSV,750M,0.75,6.0,,6631,PASCUAL TOSO ALTA MALBEC RSV,750M,6.0
2987,6632,,BIANCHI ENZO GRAN CORTE RED,750M,0.75,6.0,,6632,BIANCHI ENZO GRAN CORTE RED,750M,6.0
2988,6633,,H SAO MIGUEL RSV,750M,0.75,6.0,,6633,H SAO MIGUEL RSV,750M,6.0
2989,6634,,PARINGA SPARK SHIRAZ,750M,0.75,12.0,,6634,PARINGA SPARK SHIRAZ,750M,12.0
2990,6635,,PARINGA SHIRAZ,750M,0.75,12.0,,6635,PARINGA SHIRAZ,750M,12.0
2991,6637,,HENRYS DRIVE SHIRAZ CAB,750M,0.75,6.0,,6637,HENRYS DRIVE SHIRAZ CAB,750M,6.0
2992,6638,,MATETIC EQ CHARD,750M,0.75,12.0,,6638,MATETIC EQ CHARD,750M,12.0
