ProductKey,PRODUCT_ID,PRODUCT_DESCRIPTION,SIZE_RAW,SIZE_VALUE,PACK_RAW,PACK,STRENGTH,PROVIDER_SOURCE_ID,PROVIDER_ID,CLIENT_ID,SOURCE_SYSTEM_ID,UNIVERSAL_PROD_CODE,ACTIVE_FLAG,CREATE_DATE,AUTOMAP_ID,MANUFACTURER_NAME,CATEGORY_LEVEL_LL_DESCR,BRAND_LEVEL_LL_DESCR
3644,928418,GEYSER PEAK SAUV BLANC,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,928418,QW8,NULL,NULL
3645,980040,ECHO FALLS STRAW RASP BLACKBER,CS6-750ML,NULL,006,6.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,980040,QW8,NULL,NULL
3646,989840,ECHO FALLS MANGO PEACH,CS6-750ML,NULL,006,6.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,989840,QW8,NULL,NULL
3647,989940,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,NULL,006,6.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,989940,QW8,NULL,NULL
3648,990041,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,990041,QW8,NULL,NULL
3649,XXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXX,QW8,NULL,NULL
3650,50015376,NEW AGE WHITE VIN 9999,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,899911000465,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3651,50015393,NEW AGE ROSE VIN 9999,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,899911000472,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3652,50015639,NEW AGE RED VIN 9999,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,899911000304,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3653,50032676,Stones Ginger Wine 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,82734001171,1,2021-08-11 16:08:43.150,670354,QIN,NULL,NULL
3654,50043342,Elsa Malbec 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,899911000021,1,2021-08-11 16:08:43.150,689180045035-20,QIN,NULL,NULL
3655,50071976,CHAMPAGNE PALMER BRUT VIN 9999,750 ML,0.7500,6,6.00,0,27416,220,NULL,NULL,82100851003,1,2021-08-11 16:08:43.150,80074460,QIN,NULL,NULL
3656,50071977,CHAMPAGNE PALMER ROSE VIN 9999,750 ML,0.7500,6,6.00,0,27416,220,NULL,NULL,82100851010,1,2021-08-11 16:08:43.150,80074463,QIN,NULL,NULL
3657,50072662,ELSA BIANCHI CABERNET SAUVIGNON VIN 2018,750 ML,0.7500,12,12.00,0,27416,220,NULL,NULL,899911000038,1,2021-08-11 16:08:43.150,EBCS7,QIN,NULL,NULL
3658,50032503,Geyser Peak Cab Sauv 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,83417019209,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3659,50032530,Hardys Port Tawny Whiskers 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,81434055200,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3660,50032546,Trackers Crossing Chard 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,81434031020,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3661,50032549,Trackers Crossing Shiraz 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,81434031006,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3662,50032676,Stones Ginger Wine 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,82734001171,1,2021-08-11 16:08:43.150,670354,QIN,NULL,NULL
3663,50038221,Geyser Peak Sauv Bl 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,83417000207,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3664,50038222,Haymaker Sauv Blanc 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,83417007046,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3665,50051139,Geyser Peak Cab Sauv Walking Tree 750/6 VIN 9999,750 ML,0.7500,6,6.00,0,37218,220,NULL,NULL,83417036206,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3666,50052826,Da Luca Sparkling Rose 12/CS VIN 9999,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,83417007657,1,2021-08-11 16:08:43.150,583522,QIN,NULL,NULL
3667,50070878,MUD HOUSE SAUV BI 750/12 VIN 2018,750 ML,0.7500,12,12.00,0,37218,220,NULL,NULL,10083417007005,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3668,50015376,NEW AGE WHITE VIN 9999,750 ML,0.7500,12,12.00,0,37950,220,NULL,NULL,899911000465,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3669,50015639,NEW AGE RED VIN 9999,750 ML,0.7500,12,12.00,0,37950,220,NULL,NULL,899911000304,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3670,50020207,PARINGA SPARKLING SHIRAZ VIN 9999,750 ML,0.7500,12,12.00,0,37950,220,NULL,NULL,689969000148,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3671,50071977,CHAMPAGNE PALMER ROSE VIN 9999,750 ML,0.7500,6,6.00,0,37950,220,NULL,NULL,82100851010,1,2021-08-11 16:08:43.150,80074463,QIN,NULL,NULL
3672,50072662,ELSA BIANCHI CABERNET SAUVIGNON VIN 2018,750 ML,0.7500,12,12.00,0,37950,220,NULL,NULL,899911000038,1,2021-08-11 16:08:43.150,EBCS7,QIN,NULL,NULL
3673,30123416,No Description Available,NULL,NULL,NULL,NULL,NULL,CT,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3674,XXXXXXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,CT,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXXXXXX,QUN,NULL,NULL
3675,XXXXXXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,NJ,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXXXXXX,QUN,NULL,NULL
3676,30114739,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3677,30117693,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3678,30151356,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3679,30181033,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3680,30184109,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3681,30199915,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3682,30274080,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,QUN,NULL,NULL
3683,XXXXXXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,NY,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXXXXXX,QUN,NULL,NULL
3684,XXXXXXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,VA,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXXXXXX,QUN,NULL,NULL
3685,XXXXXXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,WV,528,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXXXXXX,QUN,NULL,NULL
3686,754724,TROPICAL MOSCATO PASSION FRUIT,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3687,755012,DUBOEUF CUV RGE,1.5,1.5000,6,6.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3688,755074,DUBOEUF POUILLY FUISSE 17,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3689,755224,DUBOEUF BEAUJ VILLAGE,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3690,755414,GEYSER PEAK CAB SAUV *17,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3692,755464,GEYSER PEAK CHARDONNAY,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3693,791361,HARDYS STAMP CHARD BOX 14 6/CS,3L,3.0000,6,6.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3694,791371,HARDYS STAMP CAB BOX 12/16 6/C,3L,3.0000,6,6.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3695,791504,DA LUCA PROSECCO,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3696,791507,DA LUCA PROSECCO 24/CS,187,0.1870,24,24.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3697,791514,DA LUCA SPARKLING ROSE,750,0.7500,12,12.00,NULL,RIDISTR,630,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,NULL,NULL,NULL,NULL
3700,50032676,Stones Ginger Wine 750/12,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3701,50061266,CLUB/COSTCO G DUB BEAUJLAS NOUV,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3702,50061267,KIRKLAND RIOJA,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3703,50061268,G DUB BEAUJ 6/4PK,187 M,NULL,024,24.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3704,50061269,G DUB BEAUJ NOUVEAU,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3705,50061270,G DUB BEAUJ NOUVEAU,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3706,50061271,G DUB BEAUJLAS NOUV,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3707,50061272,G DUB BEAUJLAS NOUV,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3708,50061273,G DUB BEAUJLAS NOUV ROSE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3709,50061274,G DUB BEAUJLAS NOUV WHOLE FOODS,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3710,50061276,G DUB BEAUJLAS FLOWER,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3711,50061277,G DUB BEAUJLAS FLOWER,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3712,50061278,G DUB CAB SAUV,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3713,50061279,G DUB COTE DU RHONE ROUGE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
