DISTRIBUTOR_FTS_ID,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_NAME,DISTRIBUTOR_ADDRESS,DISTRIBUTOR_STATE,DISTRIBUTOR_CITY,DISTRIBUTOR_ZIP
,6218019,DONAGHY SALES,2363 S CEDAR AVE,CA,FRESNO,93725
,6218021,ELYXIR DISTRIBUTING LLC,270 WEST RIVERSIDE DRIVE,CA,WATSONVILLE,95076
,6218022,FARRELL DISTRIBUTING CORP - RUTLAND,200 FARRELL ROAD,VT,RUTLAND,05701
,6218023,FARRELL DISTRIBUTING CORP - S. BURL.,5 HOLMES ROAD,VT,SOUTH BURLINGTO,05403
,6218024,VALLEY BEVERAGE - LEWISTON,PO BOX 2007,ME,LEWISTON,04241
,6218025,G. HOUSEN & COMPANY INC.,1568 PUTNEY RD,VT,BRATTLEBORO,05301
,6218026,GOLDRING GULF DISTRIBUTING - PANAMA CITY,927 MULBERRY AVE,FL,PANAMA CITY,32401
,6218028,HEIDELBERG DIST - TOLEDO,912 3RD ST,OH,PERRYSBURG,43551
,6218030,HUMBOLDT BEER - EUREKA,202 COMMERCIAL ST,CA,EUREKA,95501
,6218031,HUNTERDON BREWING CO.,45 HOWARD ST,NJ,PHILLIPSBURG,08865
,6218032,MAINE DISTRIBUTORS,5 COFFEY ST,ME,BANGOR,04401
,6218033,MALETIS BEVERAGE - OR,7000 NORTH CUTTER CIRCLE,OR,PORTLAND,97217
,6218035,COLUMBIA DISTRIBUTING - SANTA ROSA,205 CONCOURSE BLVD,CA,SANTA ROSA,95403
,6218036,MID-STATE BEVERAGE CO.,1805 E 3RD ST,PA,WILLIAMSPORT,17701
,6218037,MISSION BEVERAGE COMPANY - LOS ANGELES,550 S MISSION RD,CA,LOS ANGELES,90033
,6218039,MARINE VIEW BEVERAGES - POULSBO,22200 DAUNTLESS DR NW,WA,POULSBO,98370
,6218040,MARINE VIEW BEVERAGE - PORT ANGELES,520 E 1ST ST,WA,PORT ANGELES,98362
,6218041,CITY BEVERAGE CO.  INC.,1471 WEEKSVILLE RD,NC,ELIZABETH CITY,27909
